name,response
Kurisu,Could you come with me for a moment?
Kurisu,Huh?
Kurisu,Stop fooling around and come with me.
Kurisu,What are you talking about?
Kurisu,I just need to ask you something.
Kurisu,What's with this 'Organization' stuff?
Kurisu,...
Kurisu,Huh? Your phone's off.
Kurisu,...Who were you talking to?
Kurisu,...So you talk to yourself.
Kurisu,What were you trying to tell me earlier?
Kurisu,About fifteen minutes ago. Before the conference started.
Kurisu,"You were trying to tell me something, right? You looked really upset."
Kurisu,You looked like you were going to start crying any second.
Kurisu,Why? Have we met before?
Kurisu,And how do you know my name?
Kurisu,Huh?
Kurisu,Is there something wrong?
Kurisu,O-ow!
Kurisu,"Hey, that hurts! Let me go!"
Kurisu,What's wrong with you?
Kurisu,Hey! Could you not talk about me like that? I'm perfectly fine.
Kurisu,It came from the future?
Kurisu,Interesting...
Kurisu,...
Kurisu,...Hey.
Kurisu,Are you trying to get yourself arrested?
Kurisu,"What truth, you perv!? You stupid!? Wanna die!?"
Kurisu,No way! Did you just see my underw...!?
Kurisu,...
Kurisu,Wait. Doctor Nakabachi?
Kurisu,"Excuse me, um..."
Kurisu,"Okay, Hououin-san. I'd like to hear your story in more detail."
Kurisu,"Huh? Oh, right. Thank you."
Kurisu,"Um, I'd like to thank everyone for coming to hear me speak today."
Kurisu,"It's my first time giving a lecture like this, so please forgive me if I'm a little nervous."
Kurisu,"For today's lecture, I've been asked to speak on the subject of time travel. It's not really my area of expertise, but I'll try my best."
Kurisu,Let me start by saying that time travel is an absurd concept.
Kurisu,Hwa...!?
Kurisu,"Um... okay. It's fine, I guess. It'll be easier to talk in a discussion format."
Kurisu,"But before that, please listen to my thoughts on the subject."
Kurisu,"Scientists have proposed many theoretical models of time travel, but there are eleven in particular that bear mentioning."
Kurisu,Neutron Star Theory. Black Hole Theory. Lightspeed Theory.
Kurisu,Tachyon Theory. Wormhole Theory. Exotic Matter Theory.
Kurisu,Cosmic String Theory. Quantum Gravity Theory. Cesium Laser Theory.
Kurisu,Elementary Particle Ring & Laser Theory. Dirac Antiparticle Theory.
Kurisu,"However, all of these models are purely theoretical."
Kurisu,Some of them even contradict each other.
Kurisu,"Hm? Ahh, uhh, right, well..."
Kurisu,"It could be contradicted by the 13th model, now couldn't it?"
Kurisu,"By the way, time travel to the future is available to us right now, according to Einstein's special theory of relativity."
Kurisu,"For example, let's say someone were to go to Haneda Airport and board a plane headed to Okinawa. Upon arrival, that person would be about one hundred millionth of a second farther into the future than I am."
Kurisu,"According to the special theory of relativity, time moves slower for objects as they approach the speed of light."
Kurisu,"For example, if you could run at near the speed of light, you could reach a point where time only moves half as fast for you."
Kurisu,"If you were to keep running at that speed for 24 hours, 48 hours would elapse in the rest of the world, meaning you would 'jump' one day into the future. Understand, Hououin Kyouma?"
Kurisu,"Yes, you're right."
Kurisu,"Going to the past is possible right now. Take a look at the sky at night. You can see light from tens of thousands of years ago, can't you?"
Kurisu,"Well, I was just getting started."
Kurisu,Let's say we wanted to make a machine that could physically transport people through time. What would we need?
Kurisu,The best candidates for this are cosmic strings and wormholes.
Kurisu,A cosmic string is a string-shaped 'crevice' with extreme mass.
Kurisu,"The crevice is about as wide as an elementary particle, and at least as long as the diameter of a galaxy."
Kurisu,"It has immense mass, so it distorts space-time. If you were to travel through that distortion, you could make a full circle around the string in less than 360 degrees."
Kurisu,"In short, you can do something resembling a warp. This is called a space-time angular deficit."
Kurisu,"When you pass through an area of angular deficit, transit time becomes zero."
Kurisu,Now we apply this to a cosmic string moving at near-light speed.
Kurisu,"According to the special theory of relativity, time will flow slower for the cosmic string in relation to its surroundings. Therefore, passing through the area of angular deficit would cause the transit time to become negative instead of zero."
Kurisu,"In other words, you will arrive in the past after transit."
Kurisu,"If you use two cosmic strings, you can do a space deficit jump. If you loop back to your original location, you can return to the same time you started revolving."
Kurisu,"And that, roughly speaking, is time travel by means of cosmic strings."
Kurisu,"By the way, just so nobody misunderstands, cosmic strings are not the same as superstrings."
Kurisu,"Now then, you need three things in order to travel to the past with cosmic strings."
